ID,name,category,subCategory,supplier,imageUrl,availability,averageRating,price,currency,editingStatus
HT-1065,Gaming Mouse,Accessories,Gaming,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1065.jpg,In Stock,4.4,65.00,USD,Published
HT-1070,Flat S,Monitors,Standard,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1070.jpg,In Stock,4.1,230.00,USD,Published
HT-1071,Flat M,Monitors,Standard,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1071.jpg,In Stock,4.2,285.00,USD,Published
HT-1072,Flat L,Monitors,Standard,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1072.jpg,In Stock,4.0,350.00,USD,Published
HT-1073,Flat X-Large,Monitors,Standard,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1073.jpg,In Stock,4.3,425.00,USD,Published
HT-1080,Deskjet Super Eco,Printers,Inkjet,Printer for All,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1080.jpg,In Stock,3.9,120.00,USD,Published
HT-1081,Deskjet Super Eco Color,Printers,Inkjet,Printer for All,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1081.jpg,In Stock,4.0,150.00,USD,Published
HT-1090,Multi Function Cal,Accessories,Calculator,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1090.jpg,In Stock,4.1,85.00,USD,Published
HT-1091,Smart Design,Accessories,Design,Smart Design,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1091.jpg,In Stock,4.2,115.00,USD,Published
HT-1092,High End Laptop,Laptops,High-End,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1092.jpg,In Stock,4.6,3299.00,USD,Published
HT-1100,Ultrabook Edge,Laptops,Ultrabook,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1100.jpg,In Stock,4.4,1799.00,USD,Published
HT-1101,Ultrabook Elite,Laptops,Ultrabook,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1101.jpg,In Stock,4.5,2199.00,USD,Published
HT-1110,Power Projector 4713,Projectors,Professional,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1110.jpg,In Stock,4.3,799.00,USD,Published
HT-1120,Beam Breaker B-1,Projectors,Portable,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1120.jpg,In Stock,4.1,399.00,USD,Published
HT-1130,Beam Breaker B-2,Projectors,Portable,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1130.jpg,In Stock,4.2,539.00,USD,Published
HT-1140,Hurricane Speakers,Accessories,Audio,Hurricane,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1140.jpg,In Stock,4.0,150.00,USD,Published
HT-1200,Tablet Super 3,Tablets,Consumer,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1200.jpg,In Stock,4.2,449.00,USD,Published
HT-1201,Tablet Smart 4G,Tablets,Professional,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1201.jpg,In Stock,4.4,799.00,USD,Published
